,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,total
2020-05-02,148.64285714285714,33.0,1.7142857142857142,0.1428571428571428,0.2857142857142857,0.0,11.285714285714286,0.0,377.3571428571428,0.0714285714285714,876.2857142857143,14.5,0.0,1463.2857142857142
2020-05-03,137.42857142857142,27.285714285714285,1.4285714285714286,0.1428571428571428,0.2142857142857142,0.0,10.428571428571429,0.0,365.0,0.0714285714285714,875.5714285714286,14.571428571428571,0.0,1432.142857142857
2020-05-04,126.64285714285714,27.285714285714285,1.3571428571428572,0.1428571428571428,0.1428571428571428,0.0,10.357142857142858,0.0,360.2142857142857,0.0714285714285714,878.5,15.071428571428571,0.0,1419.7857142857142
2020-05-05,114.57142857142856,25.357142857142858,1.3571428571428572,0.1428571428571428,0.1428571428571428,0.0,8.5,0.0,344.7142857142857,0.0714285714285714,865.2857142857143,14.5,0.0,1374.642857142857
2020-05-06,106.78571428571428,21.928571428571427,1.4285714285714286,0.1428571428571428,0.1428571428571428,0.0,7.5,0.0,336.42857142857144,0.0,856.5,14.785714285714286,0.0,1345.642857142857
2020-05-07,88.71428571428571,20.642857142857142,1.2857142857142858,0.1428571428571428,0.1428571428571428,0.0,6.357142857142857,0.0,333.42857142857144,0.0,848.0714285714286,13.857142857142858,0.0,1312.642857142857
2020-05-08,78.71428571428571,20.0,1.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,5.642857142857143,0.0,328.92857142857144,0.0,826.4285714285714,13.785714285714286,0.0,1274.928571428571
2020-05-09,67.28571428571429,18.714285714285715,0.8571428571428571,0.1428571428571428,0.0714285714285714,0.0,5.357142857142857,0.0,324.42857142857144,0.0,807.0714285714286,12.5,0.0,1236.428571428571
2020-05-10,65.5,18.357142857142858,0.7857142857142857,0.1428571428571428,0.0714285714285714,0.0,5.285714285714286,0.0,327.2142857142857,0.0,792.5714285714286,12.142857142857142,0.0,1222.071428571429
2020-05-11,62.71428571428572,18.357142857142858,0.7857142857142857,0.1428571428571428,0.0714285714285714,0.0,4.928571428571429,0.0,331.7857142857143,0.0,788.2857142857143,11.357142857142858,0.0,1218.428571428571
2020-05-12,60.5,15.714285714285714,0.7857142857142857,0.1428571428571428,0.0714285714285714,0.0,4.142857142857143,0.0,333.07142857142856,0.0,774.3571428571429,8.928571428571429,0.0,1197.7142857142858
2020-05-13,58.785714285714285,15.285714285714286,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.0,3.7857142857142856,0.0,326.7857142857143,0.0,756.1428571428571,8.0,0.0,1169.642857142857
2020-05-14,55.142857142857146,15.142857142857142,0.5714285714285714,0.0,0.0714285714285714,0.0,3.357142857142857,0.0,329.5,0.0,739.5714285714286,7.714285714285714,0.0,1151.071428571429
